DSAuth	constructor	LogSetOwner	$Bool(True)
DSAuth	setAuthority	LogSetAuthority	$Bool(True)
DSAuth	setOwner	LogSetOwner	$Bool(True)
DSCache	read	$Cmp($Literal(time()), $Literal(zzz), LT)
DSChiefApprovals	etch	$Cmp($Literal(yays.length), $Literal(MAX_YAYS), LEQ)
DSChiefApprovals	etch	Etch	$Bool(True)
DSChiefApprovals	free	Burn	$Bool(True)
DSChiefApprovals	free	Transfer	$Bool(True)
DSChiefApprovals	lift	$Cmp($Literal(approvals[whom]), $Literal(approvals[hat]), GT)
DSChiefApprovals	lock	Mint	$Bool(True)
DSChiefApprovals	lock	Transfer	$Bool(True)
DSChiefApprovals	vote	Etch	$Bool(True)
DSGuard	forbid	LogForbid	$Bool(True)
DSGuard	permit	LogPermit	$Bool(True)
DSToken	burn	$Cmp($Literal(allowance[guy][msg.sender]), $Literal(wad), GEQ)
DSToken	burn	$Cmp($Literal(balanceOf[guy]), $Literal(wad), GEQ)
DSToken	burn	Burn	$Bool(True)
DSToken	mint	Mint	$Bool(True)
DSToken	move	$Cmp($Literal(allowance[src][msg.sender]), $Literal(wad), GEQ)
DSToken	move	$Cmp($Literal(balanceOf[src]), $Literal(wad), GEQ)
DSToken	move	Transfer	$Bool(True)
DSToken	pull	$Cmp($Literal(allowance[src][msg.sender]), $Literal(wad), GEQ)
DSToken	pull	$Cmp($Literal(balanceOf[src]), $Literal(wad), GEQ)
DSToken	pull	Transfer	$Bool(True)
DSToken	push	$Cmp($Literal(allowance[src][msg.sender]), $Literal(wad), GEQ)
DSToken	push	$Cmp($Literal(balanceOf[src]), $Literal(wad), GEQ)
DSToken	push	Transfer	$Bool(True)
DSToken	start	Start	$Bool(True)
DSToken	stop	Stop	$Bool(True)
DSToken	transfer	$Cmp($Literal(allowance[src][msg.sender]), $Literal(wad), GEQ)
DSToken	transfer	$Cmp($Literal(balanceOf[src]), $Literal(wad), GEQ)
DSToken	transferFrom	$Cmp($Literal(allowance[src][msg.sender]), $Literal(wad), GEQ)
DSToken	transferFrom	$Cmp($Literal(balanceOf[src]), $Literal(wad), GEQ)
DSToken	transferFrom	Transfer	$Bool(True)
ChiefUser	approve	Approval	$Bool(True)
ChiefUser	etch	$Cmp($Literal(uint256(yays[i])), $Literal(uint256(yays[i + 1])), LT)
ChiefUser	etch	$Cmp($Literal(yays.length), $Literal(MAX_YAYS), LEQ)
ChiefUser	etch	Etch	$Bool(True)
ChiefUser	free	$Cmp($Literal(_approvals[guy][msg.sender]), $Literal(wad), GEQ)
ChiefUser	free	$Cmp($Literal(_approvals[src][msg.sender]), $Literal(wad), GEQ)
ChiefUser	free	$Cmp($Literal(_balances[guy]), $Literal(wad), GEQ)
ChiefUser	free	$Cmp($Literal(_balances[src]), $Literal(wad), GEQ)
ChiefUser	free	Burn	$Bool(True)
ChiefUser	free	Transfer	$Bool(True)
ChiefUser	lift	$Cmp($Literal(approvals[whom]), $Literal(approvals[hat]), GT)
ChiefUser	lock	$Cmp($Literal(_approvals[src][msg.sender]), $Literal(wad), GEQ)
ChiefUser	lock	$Cmp($Literal(_balances[src]), $Literal(wad), GEQ)
ChiefUser	lock	Mint	$Bool(True)
ChiefUser	lock	Transfer	$Bool(True)
ChiefUser	vote	$Cmp($Literal(uint256(yays[i])), $Literal(uint256(yays[i + 1])), LT)
ChiefUser	vote	$Cmp($Literal(yays.length), $Literal(MAX_YAYS), LEQ)
ChiefUser	vote	$Logic($Cmp($Literal(slates[slate].length), $Literal(0), GT), $Cmp($Literal(slate), $Literal(0xc5d2460186f7233c927e7db2dcc703c0e500b653ca82273b7bfad8045d85a470), EQ), OR)
ChiefUser	vote	Etch	$Bool(True)
DSChiefFab	newChief	LogSetOwner	$Bool(True)
DSGuardFactory	newGuard	LogSetOwner	$Bool(True)
TokenUser	doApprove	Approval	$Bool(True)
TokenUser	doBurn	$Cmp($Literal(allowance[guy][msg.sender]), $Literal(wad), GEQ)
TokenUser	doBurn	$Cmp($Literal(balanceOf[guy]), $Literal(wad), GEQ)
TokenUser	doBurn	Burn	$Bool(True)
TokenUser	doMint	Mint	$Bool(True)
TokenUser	doMove	$Cmp($Literal(allowance[src][msg.sender]), $Literal(wad), GEQ)
TokenUser	doMove	$Cmp($Literal(balanceOf[src]), $Literal(wad), GEQ)
TokenUser	doMove	Transfer	$Bool(True)
TokenUser	doPull	$Cmp($Literal(allowance[src][msg.sender]), $Literal(wad), GEQ)
TokenUser	doPull	$Cmp($Literal(balanceOf[src]), $Literal(wad), GEQ)
TokenUser	doPull	Transfer	$Bool(True)
TokenUser	doPush	$Cmp($Literal(allowance[src][msg.sender]), $Literal(wad), GEQ)
TokenUser	doPush	$Cmp($Literal(balanceOf[src]), $Literal(wad), GEQ)
TokenUser	doPush	Transfer	$Bool(True)
TokenUser	doTransfer	$Cmp($Literal(allowance[src][msg.sender]), $Literal(wad), GEQ)
TokenUser	doTransfer	$Cmp($Literal(balanceOf[src]), $Literal(wad), GEQ)
TokenUser	doTransferFrom	$Cmp($Literal(allowance[src][msg.sender]), $Literal(wad), GEQ)
TokenUser	doTransferFrom	$Cmp($Literal(balanceOf[src]), $Literal(wad), GEQ)
TokenUser	doTransferFrom	Transfer	$Bool(True)
TokenUser	doTransfer	Transfer	$Bool(True)
